repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,copyBookName,copyBookSourcePath,resolutionStatus,markedWord
github.com,moderne-cobol-sample,main,file.CBL,K3SCA,gov\nist\copybooks\K3SCA.CPY,RESOLVED,XXXXX082
github.com,moderne-cobol-sample,main,file.CBL,K3OCA,gov\nist\copybooks\K3OCA.CPY,RESOLVED,XXXXX083
github.com,moderne-cobol-sample,main,file.CBL,K3SNA,gov\nist\copybooks\K3SNA.CPY,RESOLVED,DECIMAL-POINT
github.com,moderne-cobol-sample,main,file.CBL,K3FCA,gov\nist\copybooks\K3FCA.CPY,RESOLVED,SELECT
github.com,moderne-cobol-sample,main,file.CBL,K3IOA,gov\nist\copybooks\K3IOA.CPY,RESOLVED,SAME
github.com,moderne-cobol-sample,main,file.CBL,K3SML,gov\nist\copybooks\K3SML.CPY,RESOLVED,8
github.com,moderne-cobol-sample,main,file.CBL,K3LGE,gov\nist\copybooks\K3LGE.CPY,RESOLVED,MOVE
github.com,moderne-cobol-sample,main,file.CBL,KP001,,MISSING_SOURCE,
github.com,moderne-cobol-sample,main,file.CBL,KP002,,MISSING_SOURCE,
github.com,moderne-cobol-sample,main,file.CBL,KP008,,MISSING_SOURCE,
